Country,TIME,Value
Japan,1989-11,2.3
Japan,1989-12,2.6
Japan,1990-01,3
Japan,1990-02,3.6
Japan,1990-03,3.5
Japan,1990-04,2.5
Japan,1990-05,2.7
Japan,1990-06,2.2
Japan,1990-07,2.3
Japan,1990-08,2.9
Japan,1990-09,3
Japan,1990-10,3.5
Japan,1990-11,4.2
Japan,1990-12,3.8
Japan,1991-01,4
Japan,1991-02,3.6
Japan,1991-03,3.6
Japan,1991-04,3.4
Japan,1991-05,3.4
Japan,1991-06,3.4
Japan,1991-07,3.5
Japan,1991-08,3.3
Japan,1991-09,2.7
Japan,1991-10,2.7
Japan,1991-11,3.1
Japan,1991-12,2.7
Japan,1992-01,1.8
Japan,1992-02,2
Japan,1992-03,2
Japan,1992-04,2.4
Japan,1992-05,2
Japan,1992-06,2.3
Japan,1992-07,1.7
Japan,1992-08,1.7
Japan,1992-09,2
Japan,1992-10,1.1
Japan,1992-11,0.7
Japan,1992-12,1.2
Japan,1993-01,1.3
Japan,1993-02,1.4
Japan,1993-03,1.2
Japan,1993-04,0.9
Japan,1993-05,0.9
Japan,1993-06,0.9
Japan,1993-07,1.9
Japan,1993-08,1.9
Japan,1993-09,1.5
Japan,1993-10,1.3
Japan,1993-11,0.9
Japan,1993-12,1
Japan,1994-01,1.2
Japan,1994-02,1.1
Japan,1994-03,1.3
Japan,1994-04,0.8
Japan,1994-05,0.8
Japan,1994-06,0.6
Japan,1994-07,-0.2
Japan,1994-08,0
Japan,1994-09,0.2
Japan,1994-10,0.7
Japan,1994-11,1
Japan,1994-12,0.7
Japan,1995-01,0.6
Japan,1995-02,0.2
Japan,1995-03,-0.4
Japan,1995-04,-0.2
Japan,1995-05,0
Japan,1995-06,0.3
Japan,1995-07,0.1
Japan,1995-08,-0.2
Japan,1995-09,0.2
Japan,1995-10,-0.6
Japan,1995-11,-0.7
Japan,1995-12,-0.3
Japan,1996-01,-0.5
Japan,1996-02,-0.4
Japan,1996-03,-0.1
Japan,1996-04,0.2
Japan,1996-05,0.2
Japan,1996-06,0
Japan,1996-07,0.4
Japan,1996-08,0.2
Japan,1996-09,0
Japan,1996-10,0.5
Japan,1996-11,0.5
Japan,1996-12,0.6
Japan,1997-01,0.6
Japan,1997-02,0.6
Japan,1997-03,0.5
Japan,1997-04,1.9
Japan,1997-05,1.9
Japan,1997-06,2.2
Japan,1997-07,1.9
Japan,1997-08,2.1
Japan,1997-09,2.4
Japan,1997-10,2.5
Japan,1997-11,2.1
Japan,1997-12,1.8
Japan,1998-01,1.8
Japan,1998-02,1.9
Japan,1998-03,2.2
Japan,1998-04,0.4
Japan,1998-05,0.5
Japan,1998-06,0.1
Japan,1998-07,-0.1
Japan,1998-08,-0.3
Japan,1998-09,-0.2
Japan,1998-10,0.2
Japan,1998-11,0.8
Japan,1998-12,0.6
Japan,1999-01,0.2
Japan,1999-02,-0.1
Japan,1999-03,-0.4
Japan,1999-04,-0.1
Japan,1999-05,-0.4
Japan,1999-06,-0.3
Japan,1999-07,-0.1
Japan,1999-08,0.3
Japan,1999-09,-0.2
Japan,1999-10,-0.7
Japan,1999-11,-1.2
Japan,1999-12,-1.1
Japan,2000-01,-0.9
Japan,2000-02,-0.6
Japan,2000-03,-0.5
Japan,2000-04,-0.8
Japan,2000-05,-0.7
Japan,2000-06,-0.7
Japan,2000-07,-0.5
Japan,2000-08,-0.8
Japan,2000-09,-0.8
Japan,2000-10,-0.9
Japan,2000-11,-0.5
Japan,2000-12,-0.2
Japan,2001-01,-0.3
Japan,2001-02,-0.3
Japan,2001-03,-0.7
Japan,2001-04,-0.7
Japan,2001-05,-0.7
Japan,2001-06,-0.8
Japan,2001-07,-0.8
Japan,2001-08,-0.7
Japan,2001-09,-0.8
Japan,2001-10,-0.8
Japan,2001-11,-1
Japan,2001-12,-1.2
Japan,2002-01,-1.4
Japan,2002-02,-1.6
Japan,2002-03,-1.2
Japan,2002-04,-1.1
Japan,2002-05,-0.9
Japan,2002-06,-0.7
Japan,2002-07,-0.8
Japan,2002-08,-0.9
Japan,2002-09,-0.7
Japan,2002-10,-0.9
Japan,2002-11,-0.4
Japan,2002-12,-0.3
Japan,2003-01,-0.4
Japan,2003-02,-0.2
Japan,2003-03,-0.1
Japan,2003-04,-0.1
Japan,2003-05,-0.2
Japan,2003-06,-0.4
Japan,2003-07,-0.2
Japan,2003-08,-0.3
Japan,2003-09,-0.2
Japan,2003-10,0
Japan,2003-11,-0.5
Japan,2003-12,-0.4
Japan,2004-01,-0.3
Japan,2004-02,0
Japan,2004-03,-0.1
Japan,2004-04,-0.4
Japan,2004-05,-0.5
Japan,2004-06,0
Japan,2004-07,-0.1
Japan,2004-08,-0.2
Japan,2004-09,0
Japan,2004-10,0.5
Japan,2004-11,0.8
Japan,2004-12,0.2
Japan,2005-01,-0.1
Japan,2005-02,-0.3
Japan,2005-03,-0.2
Japan,2005-04,0
Japan,2005-05,0.2
Japan,2005-06,-0.5
Japan,2005-07,-0.3
Japan,2005-08,-0.3
Japan,2005-09,-0.3
Japan,2005-10,-0.7
Japan,2005-11,-0.8
Japan,2005-12,-0.1
Japan,2006-01,-0.1
Japan,2006-02,-0.1
Japan,2006-03,-0.2
Japan,2006-04,-0.1
Japan,2006-05,0.1
Japan,2006-06,0.5
Japan,2006-07,0.3
Japan,2006-08,0.9
Japan,2006-09,0.6
Japan,2006-10,0.4
Japan,2006-11,0.3
Japan,2006-12,0.3
Japan,2007-01,0
Japan,2007-02,-0.2
Japan,2007-03,-0.1
Japan,2007-04,0
Japan,2007-05,0
Japan,2007-06,-0.2
Japan,2007-07,0
Japan,2007-08,-0.2
Japan,2007-09,-0.2
Japan,2007-10,0.3
Japan,2007-11,0.6
Japan,2007-12,0.7
Japan,2008-01,0.7
Japan,2008-02,1
Japan,2008-03,1.2
Japan,2008-04,0.8
Japan,2008-05,1.3
Japan,2008-06,2
Japan,2008-07,2.3
Japan,2008-08,2.1
Japan,2008-09,2.1
Japan,2008-10,1.7
Japan,2008-11,1
Japan,2008-12,0.4
Japan,2009-01,0
Japan,2009-02,-0.1
Japan,2009-03,-0.3
Japan,2009-04,-0.1
Japan,2009-05,-1.1
Japan,2009-06,-1.8
Japan,2009-07,-2.2
Japan,2009-08,-2.2
Japan,2009-09,-2.2
Japan,2009-10,-2.5
Japan,2009-11,-1.9
Japan,2009-12,-1.7
Japan,2010-01,-1.3
Japan,2010-02,-1.1
Japan,2010-03,-1.1
Japan,2010-04,-1.2
Japan,2010-05,-0.9
Japan,2010-06,-0.7
Japan,2010-07,-0.9
Japan,2010-08,-0.9
Japan,2010-09,-0.6
Japan,2010-10,0.2
Japan,2010-11,0.1
Japan,2010-12,0
Japan,2011-01,-0.6
Japan,2011-02,-0.5
Japan,2011-03,-0.5
Japan,2011-04,-0.4
Japan,2011-05,-0.4
Japan,2011-06,-0.4
Japan,2011-07,0.2
Japan,2011-08,0.2
Japan,2011-09,0
Japan,2011-10,-0.2
Japan,2011-11,-0.5
Japan,2011-12,-0.2
Japan,2012-01,0.1
Japan,2012-02,0.3
Japan,2012-03,0.5
Japan,2012-04,0.4
Japan,2012-05,0.2
Japan,2012-06,-0.2
Japan,2012-07,-0.4
Japan,2012-08,-0.4
Japan,2012-09,-0.3
Japan,2012-10,-0.4
Japan,2012-11,-0.2
Japan,2012-12,-0.1
Japan,2013-01,-0.3
Japan,2013-02,-0.7
Japan,2013-03,-0.9
Japan,2013-04,-0.7
Japan,2013-05,-0.3
Japan,2013-06,0.2
Japan,2013-07,0.7
Japan,2013-08,0.9
Japan,2013-09,1.1
Japan,2013-10,1.1
Japan,2013-11,1.5
Japan,2013-12,1.6
Japan,2014-01,1.4
Japan,2014-02,1.5
Japan,2014-03,1.6
Japan,2014-04,3.4
Japan,2014-05,3.7
Japan,2014-06,3.6
Japan,2014-07,3.4
Japan,2014-08,3.3
Japan,2014-09,3.2
Japan,2014-10,2.9
Japan,2014-11,2.4
Japan,2014-12,2.4
Japan,2015-01,2.4
Japan,2015-02,2.2
Japan,2015-03,2.3
Japan,2015-04,0.6
Japan,2015-05,0.5
Japan,2015-06,0.4
Japan,2015-07,0.2
Japan,2015-08,0.2
Japan,2015-09,0
Japan,2015-10,0.3
Japan,2015-11,0.3
Japan,2015-12,0.2
Japan,2016-01,-0.1
Japan,2016-02,0.2
Japan,2016-03,0
Japan,2016-04,-0.3
Japan,2016-05,-0.5
Japan,2016-06,-0.4
Japan,2016-07,-0.4
Japan,2016-08,-0.5
Japan,2016-09,-0.5
