School Number,School Name,LA Code,Local Authority,Address 1,Address 2,Address 3,Address 4,Postcode,lat,lon,Phone Number
6656042,Woodlands Children's Development Centre,665,Wrexham,7 Pierces Square,,,Wrexham,LL13 7NE,53.04442,-2.99839,01978 262777
6656045,Carla House,665,Wrexham,Gegin Farm,Ruthin Road,Minera,Wrexham,LL11 3UT,53.06316,-3.08186,01978 594400
6656046,Oaklea Grange School,665,Wrexham,OAKLEA GRANGE,SANDY LANE,HIGHER KINNERTON,FLINTSHIRE,LL12 9RP,53.126,-3.02709,01978 423167
6656047,Bryn Tirion Hall School,665,Wrexham,Bryn Tirion Hall School,Bersham Road,Bersham,Wrexham,LL14 4HS,53.03652,-3.02548,01978 805805
6666000,Christ College,666,Powys,Brecon,Powys,,,LD3 8AF,51.94614,-3.39527,01874 615440
6666042,Amberleigh Residential Therapeutic School,666,Powys,Golfa Hall,Welshpool,Powys,,SY21 9AF,52.65149,-3.19298,01938 554111
6666043,OneSchool Global UK Newtown Campus,666,Powys,Sarn,Newtown,Powys,,SY16 4EJ,52.51006,-3.17457,01686 670152
6666047,Ty Bronllys,666,Powys,Trem-Y-Mynydd,Bronllys,Brecon,Powys,LD3 0LU,52.00918,-3.26122,01874 712353
6666048,Bettws Lifehouse,666,Powys,The Old School,Bettws Cedewain,Newtown,Powys,SY16 3DS,52.56195,-3.2967,01686 651166
6666051,The Potteries,666,Powys,Abermule,Powys,,,SY15 6JH,52.54258,-3.2512,01686 630176
6666052,Summergil House School,666,Powys,Upper Womaston,Walton,Presteigne,Powys,LD8 2PT,52.238,-3.077,02920 029922
6666054,Grace House,666,Powys,Corndon Manor,White Grit,Minsterely,Shropshire,SY5 0JL,52.57128,-3.00934,01588 650569
6666055,Homely Learning,666,Powys,Ty Mawr,Llangorse,Brecon,Powys,LD3 7UE,51.941,-3.249,07946 184024
6686015,Redhill Preparatory School,668,Pembrokeshire,The Garth,St David's Road,Haverfordwest,Pembrokeshire,SA61 2UR,51.81,-4.98913,01437 762472
6686016,Landsker Education,668,Pembrokeshire,The Old Cornstore,Northfield Road,Narberth,Pembrokeshire,SA67 7AA,51.80046,-4.74372,01834 862888
6686020,Birribi Education,668,Pembrokeshire,Brynteg,Newton Cross,Hayscastle,Haverfordwest,SA62 5HT,51.91053,-5.06406,01348 841203
6686022,Redhill High School,668,Pembrokeshire,Clynderwen House,,Clunderwen,Narberth,SA66 7TF,51.86032,-4.7297,01437 211003
6696002,Coleg Llanymddyfri,669,Carmarthenshire,Queensway,Llandovery,Carmarthenshire,,SA20 0EE,51.99532,-3.80044,01550 723000
6696003,St Michael's School,669,Carmarthenshire,Bryn,Llanelli,Carmarthenshire,,SA14 9TU,51.68482,-4.1082,01554 820325
6696008,Nant-y-cwm Steiner School,669,Carmarthenshire,Llanycefn,Nr Clynderwen,Pembrokeshire,,SA66 7QJ,51.89049,-4.74481,01437 563640
6696015,Gwenllian Education Centre,669,Carmarthenshire,Hillfield Villas,Kidwelly,Carmarthenshire,,SA17 4UL,51.73604,-4.31234,01554 890796
6706001,Oakleigh House School ,670,Swansea,38 Penlan Crescent,Uplands,Swansea,,SA2 0RL,51.62219,-3.97222,01792 298537
6706018,Ffynone House School,670,Swansea,36 St James's Crescent,Uplands,Swansea,,SA1 6DR,51.61943,-3.95961,01792 464967
6706023,OneSchool Global UK Swansea Campus,670,Swansea,Sway Road,Morriston,Swansea,,SA6 6JA,51.66929,-3.92268,01792 581221
6706026,Ty Trafle,670,Swansea,Suite C,,Britannic House,Llandarcy Neath,SA10 6JQ,51.64644,-3.85301,07944 421079
6706028,Ty Dan Y Coed,670,Swansea,Huntington Close,,,Swansea,SA3 5AL,51.5911,-3.99929,01792 343139
6706030,Ysgol Antur Cwm,670,Swansea,Ysgol Antur Cwm,Hendre Ladus,Ystradgynlais,Swansea,SA9 1SE,51.78318,-3.74744,07916 305931
6716000,Tarren School ,671,Neath Port Talbot,Tarren School,Eastern Avenue,Croeserw,Neath Port Tablot,SA13 3PB,51.6469,-3.63889,07535 340724
6716001,Brynmorgan Villa,671,Neath Port Talbot,Upper Cwmtwrch,Ystalyfera,,Neath Port Talbot,SA9 2XG,51.78653,-3.80393,01639 830700
6726073,St Clare's School,672,Bridgend,Newton,Porthcawl,Bridgend,,CF36 5NR,51.48506,-3.67573,01656 782509
6726091,Genus Education,672,Bridgend,Ynys-y-Bwt House,Blackmill,Bridgend,,CF35 6EB,51.57154,-3.53416,01656 842092
6736021,Westbourne School,673,The Vale of Glamorgan,4 Hickman Road,Penarth,Vale of Glamorgan,,CF64 2AJ,51.43778,-3.17519,02920 705705
6736025,Headlands School,673,The Vale of Glamorgan,2 St Augustines Road,Penarth,Cardiff,Vale of Glamorgan,CF64 1YY,51.44301,-3.16711,02920 709771
6736091,Atlantic College,673,The Vale of Glamorgan,St Donat’s Castle,St Donat’s,Llantwit Major,,CF61 1WF,51.40195,-3.53338,01446 799000
6736094,Inspired Learners,673,The Vale of Glamorgan,Inspired Learners,161 Holton Road,Barry,Vale of Glamorgan,CF63 4HP,51.40629,-3.26485,01446 739081
6766088,Wyclif Independent Christian School,676,Caerphilly,Wyndham Street,Machen,Caerphilly,,CF83 8PU,51.59718,-3.14138,01633 441582
6766089,Mynydd Haf School,676,Caerphilly,Ty Ysgol,Newport Road,Trethomas,Caerphilly,CF83 8BY,51.59182,-3.18332,02920 852458
6766091,Ynys Hywel Learning Community,676,Caerphilly,Ynys Hywel Learning Community,Cwmfelinfach,Ynysddu,Caerphilly,NP11 7JD,51.61246,-3.17658,07871 237142
6766092,Somersault School,676,Caerphilly,Gorselands,Cliff Road,Blackwood,Caerphilly,NP12 0NT,51.66934,-3.19461,NULL
6796008,Haberdashers's Monmouth School,679,Monmouthshire,Almshouse Street,Monmouth,Monmouthshire,,NP25 3XP,51.81086,-2.71224,01600 713143
6796013,Llangattock School Monmouth,679,Monmouthshire,Llangattock-Vibon-Avel,Monmouth,Monmouthshire,,NP25 5NG,51.83701,-2.78897,01600 772213
6796014,Talocher School,679,Monmouthshire,Talocher Farm,Wonastow Road,Monmouth,,NP25 4DN,51.79484,-2.74694,01600 740777
6806003,Rougemont School,680,Newport,Llantarnam Hall,Malpas Road,Newport,,NP20 6QB,51.61985,-3.01154,01633 820800
6806005,Greenfields School,680,Newport,Forge Road,Bassaleg,Newport,,NP10 8AT,51.56731,-3.04173,01633 259019
6806006,Catch22 Include Wales,680,Newport,Centre For Business,,Centre For Business 12,Newport,NP20 4NN,51.58882,-3.00183,01633 720046
6806007,Wadham College of Science,680,Newport,Park House,1 Park Square,Newport,,NP20 4EL,51.58317,-2.99534,01633 243888
6806008,Sporting Chance,680,Newport,Unit 2,Usk Way,Newport,,NP20 2HZ,51.57709,-2.98202,01633 453028
6806009,Ysgol Ty Monmouth,680,Newport,Ysgol Ty Monmouth,35 Bassaleg Road,,Newport,NP19 7EJ,51.59262,-2.98434,03301 358203
6816004,St John's College,681,Cardiff,College Green,William Nicholls Drive,Old St Mellons,Cardiff,CF3 5YX,51.52827,-3.11074,02920 778936
6816012,The Cathedral School,681,Cardiff,Cardiff Road,Llandaff,Cardiff,,CF5 2YH,51.4937,-3.21594,02920 563179
6816014,Kings Monkton School,681,Cardiff,6 West Grove,Cardiff,,,CF24 3XL,51.48578,-3.16982,02920 482854
6816024,Howell's School,681,Cardiff,Cardiff Road,Llandaff,Cardiff,,CF5 2YD,51.49035,-3.2124,02920 562019
6816087,Craig Y Parc School,681,Cardiff,Heol y Parc,Pentyrch,Cardiff,,CF15 9NB,51.52482,-3.3011,02920 890397
6816093,ILM Primary School,681,Cardiff,Merthyr Street,Cathays,Cardiff,,CF24 4JL,51.49314,-3.18362,02920 342040
6816094,Birchwood School,681,Cardiff,27 Pendwyallt Road,Coryton,Cardiff,,CF14 7EF,51.52314,-3.23698,02920 544290
6816095,Red Rose School,681,Cardiff,Allensbank Crescent,Heath,Cardiff,,CF14 3PR,51.50024,-3.18507,02920 198407
6816096,Cardiff Steiner School,681,Cardiff,Hawthorn Road West,Llandaff North,Cardiff,,CF14 2FL,51.50651,-3.23074,02920 567986
6816099,Ummul Mumineen Academy,681,Cardiff,142 Penarth Road,Cardiff,,,CF11 6NJ,51.46963,-3.18753,02920 220383
6816100,Cardiff Montessori School And Nursery,681,Cardiff,Insole Court,Fairwater Road,Llandaff,Cardiff,CF5 2LN,51.49203,-3.22512,029 2056 7311
6816101,Cardiff Sixth Form College,681,Cardiff,1 – 3 Trinity Court,21-27 Newport Road,,Cardiff,CF24 0AA,51.48423,-3.16793,029 2049 3121
6816102,ACT Schools,681,Cardiff,Associated Community Training Ltd,Ocean Park House,East Tyndall Street,Cardiff,CF24 5ET,51.47866,-3.15838,07809 342240
6816104,Eastward House,681,Cardiff,40/41 The Parade,Roath,Cardiff,,CF24 3AB,51.48519,-3.16809,02920 026484
6816105,Oakmont School,681,Cardiff,Oakmont School,1 Dunleavy Drive,Cardiff,,CF11 0SN,51.45292,-3.18849,03301 740931
6816106,ILM High School,681,Cardiff,Merthyr Street,Cathays,Cardiff,,CF24 4JL,51.49314,-3.18362,02920 342040
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
